370;3;147.57
370;3;147.57
370;3;147.57
370;3;147.57
369;3;146.91
369;3;146.91
369;3;146.91
369;3;146.91
367;4;140.68
367;4;140.68
367;4;140.68
367;4;140.68
367;3;146.51
367;3;146.51
367;3;146.51
367;3;146.51
366;3;143.54
366;3;143.54
366;3;143.54
366;3;143.54
365;3;141.47
365;3;141.47
365;3;141.47
365;3;141.47
360;2;128.68
360;2;128.68
360;2;128.68
360;2;128.68
362;2;127.04
362;2;127.04
362;2;127.04
362;2;127.04
357;5;126.19
357;5;126.19
357;5;126.19
357;5;126.19
211;6;123.72
211;6;123.72
211;6;123.72
211;6;123.72
211;5;110.99
211;5;110.99
211;5;110.99
211;5;110.99
357;2;134.26
357;2;134.26
357;2;134.26
357;2;134.26
358;2;139.12
358;2;139.12
358;2;139.12
358;2;139.12
278;5;123.59
293;5;122.50
313;5;144.65
317;5;130.16
278;5;123.59
293;5;122.50
313;5;144.65
317;5;130.16
278;5;123.59
293;5;122.50
313;5;144.65
317;5;130.16
278;5;123.59
293;5;122.50
313;5;144.65
317;5;130.16
279;5;99.84
294;5;128.72
314;5;147.60
318;5;133.74
279;5;99.849
294;5;128.72
314;5;147.60
318;5;133.74
279;5;99.849
294;5;128.72
314;5;147.60
318;5;133.74
279;5;99.849
294;5;128.72
314;5;147.60
318;5;133.74
278;5;109.86
293;5;134.26
313;5;150.49
317;5;134.07
278;5;109.86
293;5;134.26
313;5;150.49
317;5;134.07
278;5;109.86
293;5;134.26
313;5;150.49
317;5;134.07
278;5;109.86
293;5;134.26
313;5;150.49
317;5;134.07
