40794;189692;519905;107466;857857
44645;213693;581779;115347;955464
47654;220274;617649;120409;1005986
50579;235011;660892;145793;1092276
57012;274094;703504;167766;1202377
63261;295096;762627;195334;1316318
81890;333817;856904;218573;1491183
105945;397108;969782;247234;1720069
111035;477463;1074437;295770;1958705
100870;527724;1215374;327767;2171736
105302;568913;1375427;360161;2409803
120206;628933;1568156;400736;2718032
141721;720086;1762397;483326;3107531
149449;730810;1964638;483277;3328174
160322;903768;2239738;583007;3886835
190570;1010346;2517928;655921;4374765
210416;1012968;2771049;718663;4713096
246962;1069585;3070542;770480;5157569
262346;1104721;3351837;802352;5521256
